Entity,Code,Year,Deaths,Historical_Population
Brazil,BRA,2010,48796,195713637.0
Brazil,BRA,2019,44529,211049519.0
Brazil,BRA,1990,44236,149003225.0
Brazil,BRA,1991,43302,151648007.0
Brazil,BRA,1992,42739,154259382.0
Brazil,BRA,1993,43280,156849086.0
Brazil,BRA,1994,43614,159432717.0
Brazil,BRA,1995,44116,162019889.0
Brazil,BRA,1996,44659,164614682.0
Brazil,BRA,1997,44074,167209046.0
Brazil,BRA,1998,43023,169785253.0
Brazil,BRA,1999,42575,172318674.0
Brazil,BRA,2000,42084,174790339.0
Brazil,BRA,2001,42371,177196051.0
Brazil,BRA,2002,43059,179537523.0
Brazil,BRA,2003,43468,181809244.0
Brazil,BRA,2004,44289,184006479.0
Brazil,BRA,2005,44263,186127108.0
Brazil,BRA,2006,44884,188167353.0
Brazil,BRA,2007,45805,190130445.0
Brazil,BRA,2008,46857,192030362.0
Brazil,BRA,2009,47828,193886505.0
Brazil,BRA,2011,49449,197514541.0
Brazil,BRA,2012,49398,199287292.0
Brazil,BRA,2013,48900,201035904.0
Brazil,BRA,2014,48168,202763744.0
Brazil,BRA,2015,46729,204471759.0
Brazil,BRA,2016,46213,206163056.0
Brazil,BRA,2017,44794,207833825.0
Brazil,BRA,2018,44690,209469320.0
