Entity,Code,Year,Deaths,Historical_Population
China,CHN,2019,250025,1433783692.0
China,CHN,2018,253799,1427647789.0
China,CHN,2017,257068,1421021794.0
China,CHN,2016,262951,1414049353.0
China,CHN,2015,268987,1406847868.0
China,CHN,2014,279949,1399453966.0
China,CHN,2013,288937,1391883335.0
China,CHN,2012,300970,1384206408.0
China,CHN,2011,315824,1376497633.0
China,CHN,2010,327545,1368810604.0
China,CHN,2009,329237,1361169410.0
China,CHN,2008,327299,1353569480.0
China,CHN,2007,324159,1345993891.0
China,CHN,2006,324080,1338408644.0
China,CHN,2005,328533,1330776380.0
China,CHN,2004,326303,1323084639.0
China,CHN,2003,312967,1315303522.0
China,CHN,2002,301638,1307352256.0
China,CHN,2001,291419,1299129747.0
China,CHN,2000,279743,1290550767.0
China,CHN,1999,264540,1281514833.0
China,CHN,1998,255467,1271982349.0
China,CHN,1997,248805,1261996017.0
China,CHN,1996,244790,1251636178.0
China,CHN,1995,240786,1240920539.0
China,CHN,1994,233459,1230020026.0
China,CHN,1993,227370,1218817059.0
China,CHN,1992,226374,1206711243.0
China,CHN,1991,226876,1192897277.0
China,CHN,1990,230499,1176883681.0
