Entity,Code,Year,Deaths,Historical_Population
India,IND,2010,207140,1234281163.0
India,IND,2019,211975,1366417756.0
India,IND,1990,129821,873277799.0
India,IND,1991,135557,891273202.0
India,IND,1992,138623,909307018.0
India,IND,1993,141224,927403866.0
India,IND,1994,144071,945601828.0
India,IND,1995,145480,963922586.0
India,IND,1996,147942,982365248.0
India,IND,1997,157629,1000900028.0
India,IND,1998,163005,1019483586.0
India,IND,1999,167469,1038058154.0
India,IND,2000,169328,1056575548.0
India,IND,2001,170530,1075000094.0
India,IND,2002,169552,1093317187.0
India,IND,2003,166483,1111523146.0
India,IND,2004,168375,1129623466.0
India,IND,2005,175739,1147609924.0
India,IND,2006,183540,1165486291.0
India,IND,2007,190881,1183209471.0
India,IND,2008,199985,1200669762.0
India,IND,2009,202133,1217726217.0
India,IND,2011,213755,1250287939.0
India,IND,2012,218869,1265780243.0
India,IND,2013,213635,1280842119.0
India,IND,2014,204750,1295600768.0
India,IND,2015,201060,1310152392.0
India,IND,2016,199234,1324517250.0
India,IND,2017,199807,1338676779.0
India,IND,2018,208562,1352642283.0
China,CHN,2019,250025,1433783692.0
China,CHN,2018,253799,1427647789.0
China,CHN,2017,257068,1421021794.0
China,CHN,2016,262951,1414049353.0
China,CHN,2015,268987,1406847868.0
China,CHN,2014,279949,1399453966.0
China,CHN,2013,288937,1391883335.0
China,CHN,2012,300970,1384206408.0
China,CHN,2011,315824,1376497633.0
China,CHN,2010,327545,1368810604.0
China,CHN,2009,329237,1361169410.0
China,CHN,2008,327299,1353569480.0
China,CHN,2007,324159,1345993891.0
China,CHN,2006,324080,1338408644.0
China,CHN,2005,328533,1330776380.0
China,CHN,2004,326303,1323084639.0
China,CHN,2003,312967,1315303522.0
China,CHN,2002,301638,1307352256.0
China,CHN,2001,291419,1299129747.0
China,CHN,2000,279743,1290550767.0
China,CHN,1999,264540,1281514833.0
China,CHN,1998,255467,1271982349.0
China,CHN,1997,248805,1261996017.0
China,CHN,1996,244790,1251636178.0
China,CHN,1995,240786,1240920539.0
China,CHN,1994,233459,1230020026.0
China,CHN,1993,227370,1218817059.0
China,CHN,1992,226374,1206711243.0
China,CHN,1991,226876,1192897277.0
China,CHN,1990,230499,1176883681.0
Brazil,BRA,2010,48796,195713637.0
Brazil,BRA,2019,44529,211049519.0
Brazil,BRA,1990,44236,149003225.0
Brazil,BRA,1991,43302,151648007.0
Brazil,BRA,1992,42739,154259382.0
Brazil,BRA,1993,43280,156849086.0
Brazil,BRA,1994,43614,159432717.0
Brazil,BRA,1995,44116,162019889.0
Brazil,BRA,1996,44659,164614682.0
Brazil,BRA,1997,44074,167209046.0
Brazil,BRA,1998,43023,169785253.0
Brazil,BRA,1999,42575,172318674.0
Brazil,BRA,2000,42084,174790339.0
Brazil,BRA,2001,42371,177196051.0
Brazil,BRA,2002,43059,179537523.0
Brazil,BRA,2003,43468,181809244.0
Brazil,BRA,2004,44289,184006479.0
Brazil,BRA,2005,44263,186127108.0
Brazil,BRA,2006,44884,188167353.0
Brazil,BRA,2007,45805,190130445.0
Brazil,BRA,2008,46857,192030362.0
Brazil,BRA,2009,47828,193886505.0
Brazil,BRA,2011,49449,197514541.0
Brazil,BRA,2012,49398,199287292.0
Brazil,BRA,2013,48900,201035904.0
Brazil,BRA,2014,48168,202763744.0
Brazil,BRA,2015,46729,204471759.0
Brazil,BRA,2016,46213,206163056.0
Brazil,BRA,2017,44794,207833825.0
Brazil,BRA,2018,44690,209469320.0
